seed_1,seed_2,diff
4,52,39.8468017578125
4,105,32.24519729614258
4,666,27.872230529785156
4,850,18.458086013793945
4,854,17.446022033691406
4,857,39.969276428222656
4,858,31.755659103393555
4,885,44.6777458190918
4,897,36.54505157470703
4,901,38.9467658996582
4,906,33.53608703613281
4,907,23.1677188873291
4,929,31.120960235595703
4,944,43.38823699951172
4,945,38.374595642089844
52,105,20.562572479248047
52,666,26.37458038330078
52,850,28.514436721801758
52,854,38.21013259887695
52,857,34.578712463378906
52,858,24.745113372802734
52,885,31.62657928466797
52,897,35.33224105834961
52,901,27.374958038330078
52,906,29.201913833618164
52,907,34.15145492553711
52,929,31.756359100341797
52,944,28.69533920288086
52,945,34.01576232910156
105,666,7.4788055419921875
105,850,17.435344696044922
105,854,24.93788719177246
105,857,15.056014060974121
105,858,10.66092300415039
105,885,15.340035438537598
105,897,16.087528228759766
105,901,9.963720321655273
105,906,13.674535751342773
105,907,22.99102020263672
105,929,12.259283065795898
105,944,16.639341354370117
105,945,15.236430168151855
666,850,18.212162017822266
666,854,25.79391860961914
666,857,20.14289093017578
666,858,21.600570678710938
666,885,23.794456481933594
666,897,17.39366912841797
666,901,19.08648681640625
666,906,13.469987869262695
666,907,28.083412170410156
666,929,15.95989990234375
666,944,25.25307273864746
666,945,19.876270294189453
850,854,21.671152114868164
850,857,26.48069953918457
850,858,22.515460968017578
850,885,26.864856719970703
850,897,22.68724822998047
850,901,23.840412139892578
850,906,21.05569076538086
850,907,14.946954727172852
850,929,17.647445678710938
850,944,27.013763427734375
850,945,25.932571411132812
854,857,34.539283752441406
854,858,29.148550033569336
854,885,37.79512405395508
854,897,31.601959228515625
854,901,33.730064392089844
854,906,25.223926544189453
854,907,26.609853744506836
854,929,27.225364685058594
854,944,33.797977447509766
854,945,34.70151901245117
857,858,24.52560043334961
857,885,10.634445190429688
857,897,12.101346015930176
857,901,13.387018203735352
857,906,19.19953155517578
857,907,31.67940902709961
857,929,21.681865692138672
857,944,9.598727226257324
857,945,6.985297203063965
858,885,26.680278778076172
858,897,21.196136474609375
858,901,15.68454647064209
858,906,20.28815460205078
858,907,25.957653045654297
858,929,19.43567657470703
858,944,22.027912139892578
858,945,22.971981048583984
885,897,13.404714584350586
885,901,12.17802619934082
885,906,20.72101402282715
885,907,31.81679916381836
885,929,27.010955810546875
885,944,13.34224796295166
885,945,11.985313415527344
897,901,9.736175537109375
897,906,12.683908462524414
897,907,29.007049560546875
897,929,8.037635803222656
897,944,15.218514442443848
897,945,11.217105865478516
901,906,13.824196815490723
901,907,22.83787727355957
901,929,13.96316146850586
901,944,14.050620079040527
901,945,12.290143966674805
906,907,29.53841781616211
906,929,7.156947135925293
906,944,22.852869033813477
906,945,16.693721771240234
907,929,24.040401458740234
907,944,28.357254028320312
907,945,30.88278579711914
929,944,27.36081886291504
929,945,24.40390396118164
944,945,10.863811492919922
